Site ID,Stream Temperature 2040s,Stream Temperature 2080s,Stream Temperature Historical,Streamflow Historical,Streamflow 2040s,Streamflow 2080s
MUD,17.168,18.336,12.11715385,591.4705714,574.3800429,502.1509571
WRB,18.678,19.857,13.33046154,660.766,644.1399286,559.4104714
PUY,20.727,21.919,14.97692308,1197.269,1149.284871,1005.634614
CAR,16.782,17.949,11.80776923,223.855,199.2185571,171.0738571
POT,19.918,21.103,14.32692308,219.1417143,203.5604143,189.9201286
CHE,24.156,25.367,17.73130769,601.3367143,506.6467429,496.6177143
WHM,21.136,22.332,15.30661538,20.70285714,10.2721,7.807
SKC,21.102,22.294,15.27761538,7639.739571,6742.120371,5856.027143
CHEGR,23.314,24.522,17.05538462,427.2228571,337.9370286,345.7697571
SKYGB,21.202,22.397,15.35815385,363.427,209.8913143,152.2667286
SNOMO,22.992,24.196,16.79584615,806.9074286,490.7895714,424.2465571
NFSTI,21.835,23.034,15.86723077,4.195857143,3.291285714,3.081214286
SKAMO,21.653,22.849,15.72084615,8505.239857,7227.290386,5985.6326
LIBFI,18.852,19.938,11.41084615,100.8882857,63.12817143,61.77915714
FLANF,19.121,20.21,11.63276923,323.7838571,267.3152857,305.4647571
FLAWE,19.121,20.21,11.63276923,458.0851429,326.6091571,195.0976857
JOCDI,19.655,20.749,12.07353846,191.9474286,198.0235143,205.5804857
CLAPL,19.392,20.484,11.85661538,7168.761714,6020.519986,6699.359329
THOMP,19.392,20.484,11.85661538,51.11085714,30.0813,29.17268571
OKANA,26.394,27.827,19.13069231,1382.591,1182.832757,1273.137057
METPA,22.231,23.465,15.60215385,125.6097143,80.93112857,56.223
WENPE,21.935,23.153,15.34938462,522.0487143,455.0995143,585.4146571
WENMO,23.316,24.603,16.52161538,566.8662857,492.5555429,637.0603429
CLKEN,31.052,32.709,23.082,47181.217,40386.06731,43922.86474
QUECL,20.977,22.17,15.17584615,79.37571429,26.67517143,14.24767143
HOHFO,19.112,20.295,13.68023077,111.7364286,133.6627429,149.1677857
ELWPO,17.636,18.808,12.49161538,281.2542857,176.8322714,83.09618571
SATSA,21.072,22.267,15.25507692,52.63871429,42.43471429,42.4106
SKOPO,17.3,18.47,12.22353846,370.3784286,329.6063,321.3272571
CALAP,24.68,26.007,19.04938462,63.22171429,58.1991,60.4342
DUNDU,19.436,20.622,13.93938462,191.0341429,110.6642571,90.79717143
TOUTL,20.847,22.067,15.97430769,170.5382857,121.5354571,118.0088143
NOOFE,21.179,22.374,15.34030769,761.916,466.1167571,576.4811857
WILNF,18.352,19.506,13.97484615,510.9754286,507.7072857,486.2687143
COWKO,16.417,17.518,12.42230769,851.947,712.8838286,690.0436429
NOSAN,16.922,18.038,12.828,178.3672857,139.3893429,123.9485571
LEWCO,15.631,16.711,11.79123077,38.36371429,15.5172,12.37228571
COWLI,17.699,18.836,13.45046154,446.7148571,374.5389429,351.2788571
CISPU,15.559,16.638,11.73446154,288.9835714,224.7251143,209.2307286
WINDR,22.969,24.101,14.80669231,149.8257143,121.2747429,117.9068429
GLENW,20.194,21.291,12.51584615,234.2342857,203.0324286,254.4659143
WARMS,24.833,25.987,16.34638462,199.8394286,203.3292286,202.1004286
SUMMI,22.055,23.175,14.05330769,391.3138571,331.1126714,436.2706571
KLICK,24.354,25.503,15.95161538,51.901,53.19772857,65.54645714
TIECH,17.175,18.165,11.31030769,214.9377143,187.7278143,225.1005857
STEHE,17.052,18.036,11.20607692,873.396,825.7541286,920.9021143
WENPL,20.967,22.138,14.52669231,352.7332857,318.2921571,419.9564714
ROCHI,27.306,28.488,18.387,74.22014286,75.66901429,79.59742857
ENTAR,18.776,19.845,12.66915385,100.0404286,127.8536571,179.4141143
JOHND,30.797,32.023,21.268,328.3972857,292.3828143,291.5111286
METGO,18.313,19.356,12.27523077,65.36914286,47.46102857,40.4038
ENTIA,21.459,22.655,14.94530769,186.779,239.2701143,237.3611286
CHEWU,20.659,21.817,14.26638462,10.18042857,2.311828571,1.251328571
METWI,21.08,22.259,14.62353846,77.197,55.44134286,44.14651429
TWISP,20.376,21.52,14.02623077,33.69214286,13.83475714,4.859414286
METTW,21.62,22.823,15.08061538,115.4097143,78.99508571,54.45624286
ROCCR,25.478,26.642,16.88023077,3.053714286,4.278857143,3.933942857
JOHNR,27.614,28.802,18.64276923,3.130285714,5.990128571,5.042028571
SIMNI,22.221,23.456,15.59069231,703.944,575.3897571,671.6360143
OKANO,26.667,28.114,19.36169231,1197.333286,1018.473214,1010.141686
SIMOR,28.333,29.859,20.77415385,703.9648571,575.4083143,671.6674143
JOHNF,27.89,29.078,18.86884615,35.08042857,32.86841429,30.94887143
OKAOR,28.06,29.572,20.54361538,105.2054286,88.3517,80.77142857
CRAMO,26.484,27.923,19.20846154,74.17928571,78.76448571,82.38815714
WILCO,22.928,24.195,16.19169231,2.560571429,2.711814286,2.676857143
CRAIR,25.855,27.262,18.67315385,6.311285714,6.294385714,7.343242857
UMAMC,27.464,28.65,18.51807692,14.77414286,14.33048571,14.47072857
KETFE,18.473,19.527,12.41330769,74.22057143,71.31705714,75.41541429
SANPO,20.228,21.363,13.89992308,112.0818571,112.2534143,125.1134286
SANRE,18.404,19.454,12.35307692,134.4955714,138.1210429,147.2632
TOUCH,28.22,29.415,19.14192308,44.76785714,27.99945714,48.70121429
MALAB,14.335,15.365,7.680538462,34.94171429,59.47238571,90.15342857
MALNF,13.986,15.012,7.393,22.32371429,24.11554286,41.92848571
TUCAN,27.728,28.918,18.73661538,151.6191429,140.4716143,143.4040857
COLKE,21.892,23.106,15.31153846,93.33171429,85.22784286,99.56884286
HANGM,24.114,25.258,15.75261538,23.91842857,22.32301429,23.25588571
BULLY,15.352,16.394,8.521153846,23.49571429,34.16188571,67.0511
ASOTI,27.889,29.078,18.86769231,20.73171429,21.10874286,27.3505
PRIPR,16.255,17.202,10.53046154,679.7267143,546.6877714,554.5863143
PINEC,19.946,21.041,12.31276923,10.44085714,13.48877143,18.15427143
IMNAH,26.396,27.569,17.63784615,125.3644286,112.0746857,131.6181714
JOECA,19.002,20.09,11.53469231,173.6015714,78.3596,71.50267143
MOREA,11.603,12.325,6.584,129.819,108.7905857,112.4096571
COEUR,18.783,19.868,11.35384615,25.08914286,11.02765714,11.36378571
JOHNS,13.679,14.703,7.141923077,20.91985714,10.14322857,9.295142857
SFBOI,13.322,14.341,6.847,52.25357143,59.74378571,76.73712857
